Main field,Customer experience / behavior,Omni-channel / multi-channel marketing,Logistics / fulfillment,Inventory / operations / optimization,Digital technology / information systems,Strategy / business model / organization,Performance / measurement / bibliometric review,Resilience / capability,Total
Marketing,113,64,1,2,0,0,3,10,193
Management Science & Operations Research,1,0,22,60,0,0,0,1,84
Supply Chain Management,2,0,56,2,0,0,2,2,64
Information Systems & Management,2,1,0,0,48,1,1,7,60
Business School (Unclassified),16,22,7,1,1,0,0,2,49
Quantitative Methods,11,2,6,1,1,1,7,3,32
Consumer Psychology,24,0,0,0,0,0,0,1,25
Operations Management,2,0,1,2,0,0,0,0,5
Strategy & Organization,1,0,0,0,0,3,0,0,4
(Unable to Read),1,0,0,0,0,0,0,2,3
Total,173,89,93,68,50,5,13,28,519
