Year,Conceptual framework,Literature review,Bibliometric analysis,Case study / interview,Survey / SEM,Experiment,Optimization / simulation / game model,Statistical / econometric modeling,Mixed methods,Total
1990,0,0,0,0,1,0,0,0,0,1
2000,1,0,0,0,2,0,0,0,0,3
2002,0,0,0,1,0,0,0,0,0,1
2004,0,0,0,0,0,0,1,0,0,1
2011,1,0,0,0,0,0,0,0,0,1
2013,2,0,0,0,0,0,0,0,1,3
2014,3,0,0,0,0,0,0,0,1,4
2015,1,0,1,1,3,0,0,0,4,10
2016,2,0,0,1,4,2,4,1,0,14
2017,5,1,1,1,3,1,5,0,4,21
2018,9,3,0,3,9,3,6,2,2,37
2019,11,1,0,4,17,1,15,2,2,53
2020,17,2,0,7,34,2,14,3,7,86
2021,19,6,3,8,33,4,15,3,2,93
2022,18,5,0,6,37,6,29,1,6,108
2023,9,5,3,7,27,1,17,1,4,74
2024,0,0,0,0,0,0,1,1,0,2
Unknown,6,0,0,1,0,0,0,0,0,7
Total,104,23,8,40,170,20,107,14,33,519
