item,filename,article_title,in_folder,notes
2,2 - MOVING FROM MULTI-CHANNEL TO OMNI-CHANNEL RETAILING SPECIAL ISSUE INTRODUCTION.pdf,MOVING FROM MULTI-CHANNEL TO OMNI-CHANNEL RETAILING: SPECIAL ISSUE INTRODUCTION,YES,On Google Drive Folder
3,,THE IMPACT OF OMNI-CHANNEL COLLABORATIVE MARKETING ON CUSTOMER LOYALTY TO FRESH RETAILERS: THE MEDIATING EFFECT OF THE OMNI-CHANNEL SHOPPING EXPERIENCE,NO,Dr. Gibson's folder
4,4 - EXPLORING OMNI-CHANNELS FOR CUSTOMER-CENTRIC E-TAILING.pdf,EXPLORING OMNI-CHANNELS FOR CUSTOMER-CENTRIC E-TAILING,YES,On Google Drive Folder
5,,TOWARD A THREE-DIMENSIONAL FRAMEWORK FOR OMNI-CHANNEL,NO,Dr. Gibson's folder
6,,DYNAMIC PRICING AND CROSS-CHANNEL FULFILLMENT FOR OMNICHANNEL RETAILING INDUSTRY: AN APPROXIMATION POLICY AND IMPLICATIONS,NO,Dr. Gibson's folder
7,,UNDERSTANDING OMNI-CHANNEL SHOPPING VALUE: A MIXED-METHOD STUDY,NO,Dr. Gibson's folder
8,,REVEALING THE IMPACT OF OPERATIONAL LOGISTICS SERVICE QUALITY ON OMNI-CHANNEL CAPABILITY,NO,Dr. Gibson's folder
9,9 - CRITICAL OMNI-CHANNEL SERVICE ELEMENTS AFFECTING SATISFACTION AND LOYALTY.pdf,CRITICAL OMNI-CHANNEL SERVICE ELEMENTS AFFECTING SATISFACTION AND LOYALTY, ,On Google Drive Folder
10,10 - ANALYZING THE OMNI-CHANNEL SHOPPER JOURNEY CONFIGURATION OF GENERATIONS Y AND Z.pdf,ANALYZING THE OMNI-CHANNEL SHOPPER JOURNEY CONFIGURATION OF GENERATIONS Y AND Z,YES,On Google Drive Folder
11,,"WEBROOMING OR SHOWROOMING, THAT IS THE QUESTION: EXPLAINING OMNICHANNEL BEHAVIOURAL INTENTION THROUGH THE TECHNOLOGY ACCEPTANCE MODEL AND EXPLORATORY BEHAVIOUR", ,Dr. Gibson's folder
12,12 - WIELD THE POWER OF OMNI-CHANNEL RETAILING STRATEGY A CAPABILITY AND SUPPLY CHAIN RESILIENCE PERSPECTIVE.pdf,WIELD THE POWER OF OMNI-CHANNEL RETAILING STRATEGY: A CAPABILITY AND SUPPLY CHAIN RESILIENCE PERSPECTIVE,YES,On Google Drive Folder
13,,THE MEDIATING ROLE OF PERCEIVED ENJOYMENT AND ATTITUDE CONSISTENCY IN OMNI-CHANNEL RETAILING,NO,Cancelled by ILL Staff
14,,THE EFFECTS OF OMNI-CHANNEL RETAILING ON PROMOTIONAL STRATEGY,NO,Dr. Gibson's folder
15,,"A FURTHER APPROACH IN OMNICHANNEL LSQ, SATISFACTION AND CUSTOMER LOYALTY",NO,Dr. Gibson's folder
